HandRight.X;HandRight.Y;HandRight.Z;ElbowRight.X;ElbowRight.Y;ElbowRight.Z;HipCenter.X;HipCenter.Y;HipCenter.Z;HandLeft.X;HandLeft.Y;HandLeft.Z;ElbowLeft.X;ElbowLeft.Y;ElbowLeft.Z;
-0.02837839;-0.3647253;3.341713;0.09484543;-0.3213017;3.54752;-0.08873062;-0.420544;3.542458;-0.1981471;-0.3677266;3.345766;-0.3036174;-0.3158003;3.558582;
-0.02854668;-0.3649602;3.341793;0.0949811;-0.3212394;3.547028;-0.08846021;-0.4219489;3.542148;-0.1987673;-0.367199;3.344822;-0.3039066;-0.3157292;3.559284;
-0.02725497;-0.3651744;3.344538;0.09312981;-0.321656;3.545026;-0.08850749;-0.4221243;3.542182;-0.1983646;-0.3662735;3.337212;-0.3040327;-0.3157926;3.559297;
-0.02829768;-0.3662876;3.342701;0.09577294;-0.3225286;3.544713;-0.08791486;-0.4225885;3.542014;-0.1972933;-0.366649;3.334882;-0.3038365;-0.315382;3.559872;
-0.02637364;-0.3666086;3.33923;0.09605804;-0.3222351;3.544582;-0.08759984;-0.4230321;3.541705;-0.1866651;-0.3719681;3.312991;-0.3029167;-0.3143397;3.561795;
-0.07017282;-0.3611578;3.259735;0.09631798;-0.3201935;3.546532;-0.08767315;-0.4233797;3.540859;-0.1971647;-0.3667555;3.334759;-0.3036764;-0.3139716;3.561736;
-0.03022199;-0.3633845;3.349581;0.09872129;-0.3217259;3.546149;-0.08759227;-0.4236629;3.540904;-0.1965379;-0.367239;3.335125;-0.3028948;-0.3144374;3.560973;
-0.08840626;-0.3620863;3.306116;0.09902821;-0.3216617;3.546113;-0.08737734;-0.4236782;3.540679;-0.1960227;-0.3671352;3.335287;-0.3023649;-0.3141088;3.558363;
-0.01127117;-0.3697956;3.357482;0.09837085;-0.3198272;3.545992;-0.08729097;-0.4236481;3.540776;-0.1969535;-0.3665703;3.337327;-0.3023278;-0.3142163;3.557976;
-0.01423414;-0.3704381;3.355415;0.09786725;-0.3213513;3.545053;-0.08710397;-0.4238918;3.540716;-0.1960753;-0.3665993;3.33596;-0.3012377;-0.3168395;3.558295;
-0.01657429;-0.3695405;3.353484;0.1009645;-0.322327;3.547315;-0.08665104;-0.4236959;3.540661;-0.1956501;-0.3664905;3.332999;-0.3012474;-0.3161106;3.558689;
-0.01883352;-0.3692131;3.352327;0.101106;-0.3224992;3.547527;-0.08684994;-0.4243191;3.540649;-0.2035338;-0.3710575;3.347029;-0.3009784;-0.3165841;3.557292;
-0.02235185;-0.3673604;3.351357;0.09989688;-0.3215601;3.549354;-0.08748433;-0.4255713;3.540723;-0.203441;-0.3710253;3.347171;-0.3010588;-0.3140223;3.558762;
-0.02751273;-0.3663854;3.346945;0.09992272;-0.3215499;3.549308;-0.087289;-0.4260399;3.54044;-0.2017238;-0.3699043;3.346065;-0.3015113;-0.3141156;3.559621;
-0.02542314;-0.3678244;3.350899;0.1020734;-0.3221618;3.550963;-0.08728341;-0.4260531;3.540434;-0.2017597;-0.3690088;3.344806;-0.3007514;-0.3142514;3.559599;
-0.03038637;-0.3668785;3.341525;0.102188;-0.3200121;3.551835;-0.08722915;-0.4260192;3.540452;-0.1968741;-0.368405;3.341127;-0.3009994;-0.3146463;3.559355;
-0.03054624;-0.3669181;3.340908;0.1017518;-0.3201204;3.551213;-0.08727787;-0.4261796;3.540362;-0.1970877;-0.3705352;3.341094;-0.2967981;-0.3219509;3.552614;
-0.02439337;-0.369168;3.343928;0.1007817;-0.3196132;3.552161;-0.08720781;-0.4262527;3.54022;-0.200715;-0.3706515;3.345309;-0.2988191;-0.3188685;3.555435;
-0.02580693;-0.3710919;3.323691;0.1007674;-0.3200485;3.550598;-0.08740149;-0.4267778;3.53949;-0.2005253;-0.3705411;3.345433;-0.2986423;-0.3185131;3.555533;
-0.02832053;-0.3708244;3.323119;0.09938768;-0.3184681;3.548488;-0.087413;-0.4267908;3.539504;-0.2005361;-0.3705089;3.345437;-0.2983016;-0.3161195;3.558882;
-0.01931699;-0.369334;3.342819;0.09967855;-0.318659;3.547497;-0.08719514;-0.4269723;3.539718;-0.2005187;-0.370486;3.345392;-0.2997739;-0.3158336;3.56078;
-0.01958877;-0.36825;3.341545;0.09797448;-0.3199217;3.54574;-0.08719816;-0.4269381;3.539693;-0.1941876;-0.3676978;3.327462;-0.2996824;-0.3159264;3.560517;
-0.01892287;-0.3673036;3.342623;0.09805758;-0.3199576;3.545832;-0.08722832;-0.4269016;3.539637;-0.1917218;-0.3686039;3.336656;-0.2991719;-0.3146078;3.560484;
-0.01914374;-0.3672135;3.342504;0.09349509;-0.326009;3.539476;-0.08672364;-0.426982;3.538864;-0.1937176;-0.3690658;3.338379;-0.2986542;-0.3156444;3.55828;
-0.02042905;-0.3660155;3.343295;0.09635705;-0.3240407;3.53865;-0.08674026;-0.4271755;3.538871;-0.1948689;-0.3704138;3.345347;-0.2987274;-0.3156037;3.558365;
-0.02510409;-0.365539;3.342251;0.09818864;-0.3224375;3.539236;-0.08648517;-0.4272958;3.538057;-0.1920076;-0.3690825;3.334078;-0.2993555;-0.3141466;3.559954;
-0.02784706;-0.3658627;3.337531;0.09261398;-0.3371708;3.526611;-0.08642919;-0.4271466;3.537832;-0.1911452;-0.3675608;3.331723;-0.2989538;-0.3134625;3.558915;
-0.02739616;-0.3657153;3.337338;0.0942699;-0.3295659;3.531569;-0.08676488;-0.4272028;3.53729;-0.1910216;-0.367651;3.331517;-0.299138;-0.3148652;3.55822;
-0.02739313;-0.3656465;3.337293;0.09594172;-0.3297681;3.535837;-0.0869312;-0.4272896;3.537205;-0.1913747;-0.3682368;3.330784;-0.3002498;-0.3148929;3.559297;
-0.02891482;-0.3672968;3.332602;0.09708412;-0.3263698;3.539294;-0.08664405;-0.4271163;3.536987;-0.1926889;-0.3677399;3.334813;-0.3002503;-0.3143339;3.558993;
-0.02632243;-0.3664827;3.33673;0.09854412;-0.3274321;3.540086;-0.08755614;-0.4265895;3.536367;-0.1937752;-0.366808;3.33484;-0.3005711;-0.3147154;3.558674;
-0.002686977;-0.444153;3.30692;0.09720466;-0.3279583;3.538061;-0.08751988;-0.4268685;3.536578;-0.19258;-0.3666835;3.331347;-0.3008906;-0.3148538;3.557655;
0.001875037;-0.4410468;3.304888;0.09730913;-0.3272803;3.539321;-0.08765291;-0.4270165;3.536497;-0.1948516;-0.3673398;3.333417;-0.3009648;-0.3146051;3.557721;
-0.03940221;-0.3623647;3.338949;0.0977;-0.3225485;3.54593;-0.08800906;-0.4272592;3.536403;-0.1938606;-0.3682276;3.329846;-0.3017677;-0.3151958;3.558891;
-0.02707323;-0.3639477;3.347261;0.09778884;-0.3224366;3.546152;-0.08806239;-0.4274835;3.536339;-0.1971629;-0.3685817;3.333839;-0.3025664;-0.3138591;3.560998;
-0.02544537;-0.3650776;3.347317;0.09751505;-0.3220443;3.546222;-0.08802378;-0.4274878;3.53631;-0.1970863;-0.3683133;3.335098;-0.3009365;-0.3173598;3.558006;
-0.02891696;-0.3646214;3.346179;0.09747242;-0.3223192;3.545902;-0.08820127;-0.4273593;3.536266;-0.1983186;-0.3686557;3.336893;-0.300762;-0.3172297;3.558064;
-0.03321844;-0.3626772;3.337874;0.0979306;-0.3231804;3.542829;-0.08833098;-0.42738;3.536083;-0.1972139;-0.3681055;3.32942;-0.2999572;-0.3195027;3.554916;
