HandRight.X;HandRight.Y;HandRight.Z;HipCenter.X;HipCenter.Y;HipCenter.Z;ElbowRight.X;ElbowRight.Y;ElbowRight.Z;;Hand Rechts;X [m];Y [m];Z [m]
0.05660756;-0.4171587;3.568804;-0.05501624;-0.4169852;3.648016;0.1610028;-0.3076925;3.81434;;;;;
0.05734504;-0.416795;3.571249;-0.05493491;-0.4170253;3.648028;0.1618259;-0.3073444;3.816698;;;;;
0.05801134;-0.4140597;3.577178;-0.05503586;-0.4173361;3.647448;0.1626109;-0.3046549;3.822536;;;;;
0.09566267;-0.3887375;3.553694;-0.05517899;-0.4176878;3.64656;0.1621908;-0.3005281;3.823926;;;;;
0.09551156;-0.3907032;3.557419;-0.05519639;-0.4168459;3.646477;0.1608527;-0.3006259;3.827291;;;;;
0.09694074;-0.3921039;3.565039;-0.05597957;-0.4178295;3.645404;0.1617371;-0.3036317;3.835589;;;;;
0.09685241;-0.389846;3.546994;-0.05555247;-0.4182366;3.645009;0.1609856;-0.3012116;3.817593;;;;;
0.08896414;-0.405102;3.525765;-0.05494436;-0.4174902;3.644641;0.153317;-0.3153811;3.795839;;;;;
0.09428155;-0.4021465;3.526127;-0.05497505;-0.4174722;3.644613;0.1554379;-0.3156819;3.798123;;;;;
0.1190313;-0.3776719;3.576643;-0.05498689;-0.4174618;3.644593;0.1783408;-0.2976778;3.851176;;;;;
0.1218515;-0.3787386;3.574608;-0.05498418;-0.4173828;3.644381;0.1757286;-0.2954831;3.848589;;;;;
0.1249417;-0.3817268;3.561034;-0.05473692;-0.4174838;3.64432;0.1661492;-0.2852317;3.827372;;;;;
0.1256084;-0.3900243;3.551184;-0.05467287;-0.4170427;3.644381;0.163737;-0.296019;3.818455;;;;;
0.1442211;-0.3885905;3.572212;-0.05548987;-0.4174316;3.644068;0.1672946;-0.2745092;3.834812;;;;;
0.1201376;-0.4093729;3.582138;-0.05546244;-0.4184053;3.643331;0.1671641;-0.2813911;3.843775;;;;;
0.1171462;-0.444621;3.529561;-0.05561123;-0.4183466;3.643187;0.1659846;-0.3250328;3.798928;;;;;
0.1136119;-0.4295389;3.544249;-0.05560535;-0.4183204;3.643176;0.1624588;-0.3099702;3.813586;;;;;
0.113626;-0.4324465;3.542875;-0.05540846;-0.4183144;3.642869;0.1624763;-0.3128859;3.812198;;;;;
0.1154074;-0.433282;3.543688;-0.05553196;-0.4183831;3.642512;0.1642699;-0.3137497;3.812964;;;;;
0.1146059;-0.4342901;3.544624;-0.05545596;-0.418494;3.642563;0.1634826;-0.3147907;3.813844;;;;;
0.08896714;-0.4397238;3.557261;-0.05547743;-0.419343;3.642462;0.1619812;-0.3170952;3.798683;;;;;
0.08641152;-0.4315641;3.566895;-0.05544643;-0.4192705;3.642481;0.1663073;-0.3086681;3.804504;;;;;
0.1102206;-0.4117237;3.552824;-0.05530253;-0.4192344;3.642359;0.166713;-0.298136;3.805598;;;;;
0.1129365;-0.4033242;3.568218;-0.05509049;-0.4193309;3.642257;0.1701715;-0.2925576;3.821823;;;;;
0.1122935;-0.3866675;3.575425;-0.05507318;-0.4192084;3.642315;0.1716831;-0.2765863;3.828351;;;;;
0.1184267;-0.3920509;3.576046;-0.05505124;-0.4192002;3.642284;0.1717548;-0.276411;3.828691;;;;;
0.1141119;-0.4460626;3.528754;-0.0555771;-0.4189098;3.64198;0.1582218;-0.3224641;3.780688;;;;;
0.120484;-0.4275774;3.571826;-0.05580968;-0.4190287;3.641693;0.1645996;-0.3040128;3.823699;;;;;
0.1202106;-0.4268811;3.565596;-0.05585177;-0.4190486;3.641721;0.1643153;-0.3033192;3.817464;;;;;
0.1213721;-0.4253823;3.572078;-0.0554562;-0.4195901;3.641812;0.1654833;-0.3018523;3.82389;;;;;
0.118248;-0.4267249;3.570853;-0.05573673;-0.4193354;3.641704;0.1623779;-0.3032289;3.822609;;;;;
0.1149007;-0.4303369;3.566761;-0.05570928;-0.4193906;3.641721;0.1590492;-0.3068779;3.818456;;;;;
0.1168147;-0.4312221;3.567132;-0.05564035;-0.4191572;3.641685;0.1609791;-0.3077998;3.818765;;;;;
0.1166782;-0.4346779;3.56126;-0.05538535;-0.418087;3.641959;0.1608538;-0.3112833;3.812846;;;;;
0.1065789;-0.4216706;3.543209;-0.05531886;-0.4181389;3.642054;0.161368;-0.3045759;3.814531;;;;;
0.1066148;-0.4236512;3.540151;-0.05535639;-0.4179293;3.642054;0.1618585;-0.3045092;3.814443;;;;;
0.1038249;-0.4229318;3.53529;-0.05515944;-0.417185;3.642073;0.1609536;-0.30268;3.812843;;;;;
0.104861;-0.4289522;3.550272;-0.05489011;-0.4173059;3.642002;0.163608;-0.3063101;3.831977;;;;;
0.1040524;-0.4271472;3.540898;-0.05521457;-0.4176003;3.641732;0.1631438;-0.3033992;3.82237;;;;;
0.1044213;-0.4240752;3.536493;-0.05523111;-0.4176951;3.641723;0.1636935;-0.299798;3.817827;;;;;
0.1050578;-0.4309995;3.535776;-0.05506832;-0.4176572;3.641772;0.1644185;-0.3062102;3.817207;;;;;
0.1046945;-0.4287632;3.532704;-0.05527082;-0.4175112;3.641584;0.1631917;-0.3053163;3.812991;;;;;
0.1236655;-0.4221521;3.549044;-0.05528354;-0.4171732;3.641815;0.1618214;-0.3127013;3.808095;;;;;
0.1251286;-0.4214213;3.547723;-0.05524627;-0.4174487;3.642027;0.1631798;-0.313667;3.807441;;;;;
0.1191037;-0.4190129;3.538803;-0.05586012;-0.4184183;3.641785;0.1567454;-0.3134823;3.79943;;;;;
0.1164247;-0.4150335;3.52963;-0.05591441;-0.4189528;3.641706;0.1545758;-0.3114747;3.790863;;;;;
0.1148494;-0.4177045;3.526431;-0.05643684;-0.4188735;3.641813;0.1530678;-0.3155916;3.788179;;;;;
0.1334547;-0.412617;3.577535;-0.05632699;-0.4180621;3.641942;0.1576549;-0.3004992;3.838577;;;;;
0.1369205;-0.4284024;3.555382;-0.05633689;-0.4180585;3.641932;0.1593176;-0.3107183;3.814348;;;;;
0.1396435;-0.4213306;3.557634;-0.05635922;-0.418036;3.641962;0.1611688;-0.301451;3.815684;;;;;
0.0975308;-0.4202194;3.570155;-0.05639267;-0.4187856;3.641682;0.1614398;-0.3014751;3.815864;;;;;
0.1100092;-0.4123243;3.584611;-0.05639799;-0.4187095;3.641774;0.1659191;-0.2912976;3.832375;;;;;
0.1115535;-0.4229102;3.576591;-0.05652704;-0.4185624;3.641851;0.1628006;-0.2967651;3.82946;;;;;
0.1118584;-0.4337523;3.590154;-0.0565799;-0.4185899;3.641841;0.1648603;-0.2906659;3.833203;;;;;
0.1084032;-0.4516882;3.577963;-0.05664773;-0.4181386;3.6419;0.1652675;-0.2890477;3.820063;;;;;
0.1031715;-0.4720289;3.594566;-0.05670084;-0.4179352;3.641826;0.1628335;-0.2973993;3.828077;;;;;
0.09454573;-0.4812835;3.549161;-0.05703563;-0.4180453;3.641799;0.1539339;-0.3075782;3.786618;;;;;
0.1077779;-0.4719011;3.600072;-0.0564809;-0.4177985;3.642252;0.1667984;-0.298656;3.835919;;;;;
0.09888535;-0.4721501;3.542813;-0.05629964;-0.417689;3.642412;0.1655394;-0.2949662;3.826717;;;;;
0.1021189;-0.4621581;3.556792;-0.05631536;-0.4176215;3.642388;0.1674935;-0.2842192;3.832861;;;;;
0.1030162;-0.4615382;3.558378;-0.05654356;-0.4174841;3.642504;0.1683014;-0.2829229;3.833702;;;;;
0.1059998;-0.4608685;3.560747;-0.05754996;-0.4178282;3.642234;0.1710919;-0.2814758;3.835189;;;;;
0.1045505;-0.4679751;3.547692;-0.05743006;-0.417749;3.642179;0.1696142;-0.2874728;3.820669;;;;;
0.104616;-0.4622569;3.548383;-0.05775856;-0.4172178;3.642317;0.1697065;-0.2809347;3.821204;;;;;
0.1508441;-0.4067462;3.57865;-0.05775126;-0.417388;3.642377;0.1773887;-0.271761;3.831283;;;;;
0.1433723;-0.4157302;3.588614;-0.05774936;-0.4175076;3.642286;0.1754491;-0.2724361;3.831424;;;;;
0.1449789;-0.4164883;3.587088;-0.05775811;-0.4174922;3.64232;0.175582;-0.2735184;3.829611;;;;;
0.1448783;-0.416022;3.587037;-0.05771276;-0.4175275;3.642265;0.1756618;-0.2737429;3.82989;;;;;
0.1421103;-0.4144265;3.588032;-0.05754381;-0.4169652;3.642638;0.1758639;-0.2714886;3.833341;;;;;
0.1395451;-0.4209373;3.581882;-0.05749023;-0.4164402;3.642179;0.1766328;-0.2735349;3.832946;;;;;
0.1365335;-0.4222398;3.57906;-0.05726343;-0.4165604;3.642098;0.1761489;-0.2739669;3.83258;;;;;
0.1366069;-0.4226327;3.578901;-0.0570195;-0.4163588;3.642143;0.1767515;-0.274527;3.832875;;;;;
0.1543365;-0.3991852;3.578684;-0.05715534;-0.4163417;3.642136;0.1804555;-0.2916919;3.836786;;;;;
0.1648159;-0.3685979;3.582652;-0.05705946;-0.4164579;3.642148;0.1796485;-0.2901204;3.836956;;;;;
0.1707618;-0.3706264;3.581448;-0.05703286;-0.4162643;3.642058;0.1788977;-0.2920765;3.835941;;;;;
0.1743562;-0.373593;3.595591;-0.05679837;-0.416811;3.641875;0.1792964;-0.2908503;3.837701;;;;;
0.1131918;-0.4118304;3.566791;-0.05661876;-0.4169515;3.641954;0.1728331;-0.2710918;3.832206;;;;;
0.1159433;-0.4132989;3.566194;-0.05695736;-0.416973;3.641609;0.1726896;-0.273041;3.827525;;;;;
0.1149293;-0.4172596;3.566908;-0.05719515;-0.4173553;3.641363;0.1721818;-0.2773447;3.829442;;;;;
0.1088351;-0.4131745;3.577788;-0.0571803;-0.4173523;3.64138;0.1731099;-0.2752702;3.832002;;;;;
0.1157019;-0.4153666;3.577193;-0.05713928;-0.4171792;3.641564;0.1734385;-0.2760404;3.832204;;;;;
0.1154385;-0.4116838;3.575321;-0.05707412;-0.4182616;3.641581;0.1747679;-0.2771515;3.832625;;;;;
0.1659972;-0.367541;3.582643;-0.05689321;-0.4180691;3.641738;0.1706414;-0.2842193;3.81141;;;;;
0.1691163;-0.3660242;3.591171;-0.0569663;-0.4179841;3.641579;0.172375;-0.2770883;3.817934;;;;;
0.1745359;-0.3713595;3.598537;-0.05699827;-0.4180411;3.641613;0.1710866;-0.2756268;3.824313;;;;;
0.1797849;-0.3789609;3.604336;-0.05683031;-0.4180465;3.641372;0.1718939;-0.2771184;3.826859;;;;;
0.1382295;-0.4168275;3.61019;-0.05681592;-0.41802;3.641327;0.1713709;-0.2793477;3.8269;;;;;
0.05248545;-0.4567034;3.568268;-0.05723717;-0.4185269;3.641582;0.1703521;-0.2879367;3.816419;;;;;
0.0542509;-0.4514387;3.573764;-0.05717767;-0.4184468;3.641635;0.1715917;-0.2844864;3.822591;;;;;
0.05271142;-0.4520774;3.573207;-0.05763754;-0.418889;3.641638;0.1696461;-0.2857901;3.822323;;;;;
0.03159203;-0.4887334;3.530815;-0.05791731;-0.4191812;3.642049;0.1482364;-0.3242679;3.781321;;;;;
0.119449;-0.432304;3.573439;-0.05806626;-0.4183489;3.642272;0.168025;-0.3032814;3.835706;;;;;
0.1172191;-0.4288988;3.567203;-0.05872843;-0.4184453;3.642118;0.1658009;-0.2998609;3.829499;;;;;
0.1167945;-0.4130194;3.55765;-0.05872655;-0.4184442;3.642139;0.1657643;-0.3005862;3.827841;;;;;
0.1171085;-0.4105055;3.557918;-0.0586588;-0.4182056;3.642201;0.1672328;-0.2941912;3.826157;;;;;
0.114058;-0.4114006;3.557726;-0.05892837;-0.4186268;3.641967;0.1654533;-0.2945463;3.825469;;;;;
0.1106879;-0.4183314;3.541114;-0.05899261;-0.4187396;3.642029;0.16212;-0.300643;3.808459;;;;;
