HandRight.X;HandRight.Y;HandRight.Z;HipCenter.X;HipCenter.Y;HipCenter.Z;ElbowRight.X;ElbowRight.Y;ElbowRight.Z;
0.09718271;-0.5940763;3.269244;-0.1022128;-0.4050206;3.499865;0.08580366;-0.3610231;3.517221;
0.09735808;-0.5712576;3.283949;-0.1019782;-0.4052587;3.499901;0.08602339;-0.3618553;3.516603;
0.09719727;-0.5711535;3.283953;-0.102295;-0.405211;3.500294;0.0863863;-0.3615024;3.517257;
0.09708775;-0.596036;3.267215;-0.1024519;-0.4056103;3.500256;0.08638806;-0.3629888;3.515629;
0.09381205;-0.5989355;3.268065;-0.1025896;-0.4054454;3.500308;0.08612946;-0.3633471;3.514877;
0.09328435;-0.600071;3.266364;-0.1026226;-0.4055174;3.500321;0.08597954;-0.36434;3.513425;
0.0943338;-0.6002735;3.26593;-0.1028927;-0.405705;3.500423;0.08544117;-0.3652239;3.512368;
0.09388857;-0.5998204;3.264438;-0.1032132;-0.406424;3.500464;0.08553126;-0.3658269;3.512305;
0.09480799;-0.5990117;3.26181;-0.1031915;-0.4063239;3.500506;0.0856968;-0.365761;3.512406;
0.09288555;-0.5687895;3.287251;-0.1035312;-0.4065291;3.500422;0.08560599;-0.36578;3.512026;
0.09324518;-0.5689524;3.278527;-0.1036046;-0.4065224;3.500442;0.08552311;-0.3658876;3.511704;
0.09433015;-0.5729014;3.272547;-0.1036038;-0.4065365;3.500434;0.08650592;-0.3657887;3.512912;
0.09642512;-0.6004916;3.260542;-0.1038412;-0.4062233;3.500518;0.08598871;-0.3688588;3.512928;
0.09528787;-0.574477;3.27194;-0.1039069;-0.4056305;3.500865;0.08578789;-0.3637971;3.517106;
0.0952511;-0.5976926;3.267056;-0.1041111;-0.4053577;3.500828;0.08587383;-0.3641092;3.51663;
0.09167776;-0.5736285;3.282076;-0.1042229;-0.4054046;3.500794;0.08577117;-0.3641783;3.516519;
0.09038658;-0.5734105;3.280218;-0.1043465;-0.4051693;3.500888;0.08529411;-0.364113;3.517122;
0.09236512;-0.5683125;3.288983;-0.1043985;-0.405174;3.500877;0.08291356;-0.3656698;3.516384;
0.09205513;-0.5684338;3.289212;-0.1047569;-0.4043204;3.501031;0.08302366;-0.3664578;3.514701;
0.09390184;-0.6006042;3.264266;-0.1049903;-0.4039292;3.501177;0.0825884;-0.3666021;3.514066;
0.09028746;-0.6028929;3.265925;-0.1053056;-0.4040348;3.501215;0.08240012;-0.3667423;3.513666;
0.09061094;-0.6023201;3.265363;-0.1053816;-0.4041448;3.501287;0.08230307;-0.3666745;3.513767;
0.0866211;-0.5645531;3.295533;-0.1054757;-0.4040723;3.501372;0.0821769;-0.3664822;3.514485;
0.08826742;-0.5615888;3.301367;-0.1056303;-0.4038517;3.501775;0.08184253;-0.3664483;3.515665;
0.08675598;-0.5635899;3.307621;-0.1057264;-0.40393;3.501884;0.08187548;-0.36599;3.515884;
0.08603191;-0.5600717;3.306199;-0.1059952;-0.4039613;3.501997;0.08227676;-0.3651953;3.517802;
0.09093192;-0.603172;3.269888;-0.1060099;-0.4055403;3.502074;0.08218503;-0.3654166;3.51758;
0.08993601;-0.6045672;3.270932;-0.1060485;-0.404999;3.502516;0.08192609;-0.3651419;3.517258;
0.09209276;-0.6046613;3.269412;-0.1059914;-0.4049309;3.502587;0.08159437;-0.3664339;3.516443;
0.0912406;-0.6070517;3.272101;-0.105936;-0.4050176;3.502464;0.08184592;-0.3658224;3.517074;
0.08855054;-0.6069213;3.270387;-0.1059458;-0.4050072;3.502676;0.08225434;-0.366697;3.51631;
0.08990747;-0.6061028;3.264242;-0.1061799;-0.4054879;3.502764;0.08275375;-0.3702313;3.516085;
0.08485911;-0.6110177;3.26905;-0.1061496;-0.4054676;3.502785;0.08284799;-0.3696968;3.516038;
0.08258239;-0.5732622;3.297167;-0.1062281;-0.4053071;3.502866;0.08293493;-0.3690019;3.516409;
0.08270791;-0.5705029;3.300674;-0.1067001;-0.4055162;3.502933;0.08269265;-0.3690097;3.517089;
0.08382667;-0.566128;3.293088;-0.1069623;-0.4059832;3.503023;0.08197346;-0.3668121;3.516521;
0.08449791;-0.5621814;3.302157;-0.1072751;-0.4052502;3.503213;0.08108857;-0.3663645;3.517536;
0.08451241;-0.5614995;3.301837;-0.1072964;-0.4053508;3.503176;0.08120184;-0.3664293;3.51767;
0.08453149;-0.5611641;3.300518;-0.1076408;-0.404773;3.503162;0.08098057;-0.3645891;3.518638;
0.08246735;-0.6045029;3.270808;-0.1077955;-0.4057483;3.50308;0.08108175;-0.364704;3.518362;
0.07900012;-0.5655936;3.299973;-0.1076517;-0.406751;3.502913;0.08119984;-0.3645799;3.517957;
0.07981335;-0.5628295;3.301426;-0.1075983;-0.406723;3.502921;0.08082935;-0.3656734;3.517277;
0.08073366;-0.5640702;3.30476;-0.1077477;-0.4075101;3.50279;0.08085129;-0.365693;3.518326;
0.07965972;-0.5649791;3.30847;-0.1078867;-0.4080679;3.502233;0.08023982;-0.3700369;3.516498;
0.0830342;-0.6100493;3.271236;-0.1080097;-0.4079618;3.502352;0.08033273;-0.3689313;3.516799;
0.08740337;-0.5552555;3.309824;-0.1081834;-0.4081982;3.502398;0.08027367;-0.3678339;3.517073;
0.08221374;-0.5638787;3.305833;-0.1081412;-0.4082819;3.502486;0.08032285;-0.3674695;3.516785;
0.07891075;-0.5624641;3.317171;-0.108302;-0.4081488;3.502468;0.08017042;-0.367674;3.516833;
0.077574;-0.5646821;3.319062;-0.1083349;-0.4081688;3.502487;0.07950902;-0.3671375;3.517213;
