HandRight.X;HandRight.Y;HandRight.Z;ElbowRight.X;ElbowRight.Y;ElbowRight.Z;HipCenter.X;HipCenter.Y;HipCenter.Z;
-0.3475287;-0.2866523;3.254158;-0.06461648;-0.3033705;3.317447;-0.1762075;-0.4193197;3.444732;
-0.3597949;-0.2807356;3.256866;-0.07744543;-0.3079602;3.315544;-0.1764469;-0.4194124;3.444217;
-0.3626764;-0.2757761;3.257951;-0.08024685;-0.3042566;3.314385;-0.1773863;-0.4197175;3.442919;
-0.3643393;-0.2707973;3.260553;-0.08236383;-0.3041714;3.316586;-0.1782952;-0.4194212;3.441728;
-0.4049835;-0.2298841;3.331017;-0.08442284;-0.3023497;3.318968;-0.1796949;-0.4189766;3.441172;
-0.4241006;-0.2259946;3.342946;-0.08688174;-0.3069022;3.319747;-0.1801932;-0.4188751;3.440828;
-0.4170222;-0.232516;3.334221;-0.09000252;-0.3041851;3.317899;-0.180627;-0.4190744;3.44051;
-0.4142184;-0.2377994;3.33035;-0.09248027;-0.3058642;3.317418;-0.1836171;-0.4177522;3.439662;
-0.4141583;-0.2478333;3.312946;-0.09046619;-0.3038883;3.317185;-0.1842752;-0.4181337;3.439381;
-0.4150987;-0.2600202;3.30693;-0.09007951;-0.3024407;3.315794;-0.1844012;-0.4180799;3.439364;
-0.4173083;-0.2823634;3.295678;-0.0915173;-0.3054157;3.314836;-0.1851746;-0.4182609;3.438494;
-0.415119;-0.3001582;3.280627;-0.09154622;-0.3054267;3.314917;-0.1856524;-0.418934;3.437567;
-0.4164087;-0.3081372;3.281787;-0.09148825;-0.3052766;3.31531;-0.1858611;-0.4189435;3.436997;
-0.4158929;-0.3185982;3.274989;-0.08834043;-0.3040446;3.316246;-0.1867094;-0.4206487;3.435918;
-0.4125687;-0.3329447;3.265651;-0.08746301;-0.3048274;3.318954;-0.1876143;-0.4213418;3.435318;
-0.4145283;-0.3467036;3.267008;-0.0805306;-0.3078239;3.327742;-0.1879843;-0.4224428;3.434487;
-0.4326067;-0.3786324;3.288428;-0.07115926;-0.3164243;3.334337;-0.1897631;-0.424387;3.433142;
-0.3439054;-0.3737458;3.226245;-0.0346958;-0.3160489;3.354016;-0.1897066;-0.4248465;3.43301;
-0.2962214;-0.3697694;3.191489;-0.03853781;-0.3179775;3.358473;-0.1914845;-0.4259609;3.433181;
-0.2756331;-0.3656295;3.186366;-0.02363112;-0.3169767;3.373374;-0.191649;-0.4259839;3.433469;
-0.2006403;-0.3830128;3.174948;-0.01615546;-0.3211393;3.384776;-0.1922502;-0.4265389;3.43386;
-0.1085121;-0.3596894;3.156481;0.002045419;-0.3098946;3.410646;-0.1929626;-0.4271141;3.434602;
0.01331659;-0.3804998;3.118958;0.001057655;-0.3092991;3.413902;-0.1931178;-0.4271249;3.434756;
0.0545342;-0.3620884;3.249174;-0.008578651;-0.3190811;3.4567;-0.1934244;-0.4271751;3.43478;
0.1216187;-0.3521226;3.239801;-0.005732179;-0.319383;3.456933;-0.1938448;-0.4273259;3.435191;
0.1874083;-0.3303077;3.285991;0.008941438;-0.3222807;3.457158;-0.195102;-0.4265863;3.435467;
0.3159819;-0.2898895;3.341143;0.02761838;-0.3210983;3.467818;-0.1952013;-0.4266404;3.435538;
0.3385786;-0.2620301;3.390323;0.04159366;-0.3226789;3.473466;-0.1950357;-0.4265405;3.435306;
0.3650078;-0.2311509;3.491203;0.07981502;-0.3183608;3.491637;-0.1950608;-0.4263563;3.43521;
0.3722526;-0.225174;3.508729;0.08400851;-0.3147432;3.494677;-0.1947345;-0.4257548;3.434747;
0.3457463;-0.2195117;3.516828;0.08459657;-0.3134568;3.500583;-0.1943048;-0.4237954;3.433803;
0.3526101;-0.2016008;3.533433;0.08756406;-0.3098942;3.510181;-0.1939283;-0.4230398;3.433537;
0.3811438;-0.1901144;3.543131;0.08972874;-0.3082964;3.518951;-0.19268;-0.4226087;3.433256;
0.3790685;-0.1855788;3.546072;0.08993087;-0.3077199;3.521847;-0.1908207;-0.4220611;3.432665;
0.3145996;-0.2047229;3.541622;0.08801281;-0.3064101;3.528907;-0.1887982;-0.4208938;3.432526;
0.3123409;-0.2050924;3.54156;0.08812079;-0.3064531;3.529561;-0.1873896;-0.4193216;3.432581;
0.311228;-0.2051228;3.542866;0.08774373;-0.3069436;3.530242;-0.1865353;-0.4191691;3.432978;
0.3131485;-0.2052673;3.546857;0.08715455;-0.3077355;3.530503;-0.1854609;-0.4193238;3.433174;
0.31322;-0.207274;3.544519;0.08559263;-0.3103667;3.53112;-0.1843855;-0.4190657;3.432875;
0.315831;-0.2250013;3.526403;0.08550408;-0.312471;3.531969;-0.183769;-0.4191545;3.433249;
0.3468278;-0.204439;3.543956;0.08556297;-0.314774;3.531098;-0.1817618;-0.4197046;3.43387;
0.3774667;-0.2476208;3.493984;0.07844318;-0.3162271;3.534513;-0.1813645;-0.419603;3.434102;
0.3780378;-0.2504929;3.489722;0.07726971;-0.3163584;3.534275;-0.1802907;-0.4188702;3.43399;
0.3782585;-0.2538976;3.484136;0.07606444;-0.3166694;3.533603;-0.1788806;-0.4184862;3.434456;
