Hand.X;Hand.Y;Hand.Z;Ellbogen.X;Ellbogen.Y;Ellbogen.Z;Schulter.X;Schulter.Y;Schulter.Z
0.2524459;-0.1598415;3.294247;0.1921498;-0.2125092;3.573769;0.192514;0.03031025;3.66607
0.2521093;-0.1601401;3.294501;0.1923581;-0.2083828;3.573106;0.1925323;0.03018208;3.665867
0.2529345;-0.1598032;3.297895;0.1925034;-0.2059229;3.572588;0.1927616;0.03041396;3.666045
0.2528071;-0.1621382;3.316706;0.178848;-0.2129247;3.558036;0.1914597;0.02941111;3.66495
0.2645122;-0.1555128;3.278035;0.1823994;-0.2045262;3.561063;0.1901606;0.0281955;3.663698
0.2535623;-0.1622355;3.314343;0.1810073;-0.2068298;3.56136;0.1900691;0.0279613;3.663716
0.2610191;-0.1571227;3.283058;0.1913364;-0.2074199;3.569322;0.1893733;0.02778553;3.662978
0.2557811;-0.1618536;3.304551;0.194458;-0.2079669;3.571575;0.1893557;0.02777559;3.662976
0.2574105;-0.1618722;3.310013;0.1854801;-0.2377621;3.555774;0.1895279;0.02843999;3.663576
0.2579297;-0.161861;3.311587;0.2084111;-0.2067175;3.577184;0.1896474;0.02843024;3.663625
0.2640643;-0.1586143;3.28248;0.2061058;-0.1881063;3.574473;0.18929;0.02866834;3.662631
0.2595064;-0.1611338;3.30463;0.1989073;-0.1970225;3.570044;0.1901235;0.02870279;3.663755
0.2595642;-0.1613033;3.307317;0.1994072;-0.1968051;3.572451;0.1896234;0.02849863;3.663718
0.2598943;-0.1611012;3.305629;0.2000819;-0.1956137;3.574122;0.1896097;0.02864198;3.663708
0.260065;-0.1612158;3.3054;0.2038154;-0.1897288;3.578714;0.1909723;0.03020081;3.665047
0.2605246;-0.1622465;3.307774;0.2060075;-0.1869052;3.582192;0.1904031;0.03034623;3.665166
0.2606411;-0.1616898;3.30738;0.2033452;-0.1875415;3.580071;0.1898166;0.02927288;3.665319
0.2611468;-0.1620311;3.309452;0.2006984;-0.1908506;3.574946;0.1889333;0.02791068;3.663524
0.2610885;-0.1621067;3.310033;0.1962762;-0.191498;3.57112;0.187867;0.02727957;3.662473
